person,anger,gender,item,description,do,other,scold,shout,poly,dich
10,16,0,4,do train curse,0,1,0,0,2,1
10,16,0,5,do train scold,0,1,1,0,2,1
10,16,0,6,do train shout,0,1,0,1,1,1
10,16,0,7,do store curse,0,0,0,0,1,1
10,16,0,8,do store scold,0,0,1,0,0,0
10,16,0,9,do store shout,0,0,0,1,1,1
10,16,0,10,do operator curse,0,0,0,0,1,1
10,16,0,11,do operator scold,0,0,1,0,1,1
10,16,0,12,do operator shout,0,0,0,1,1,1
10,16,0,13,want bus curse,1,1,0,0,1,1
10,16,0,14,want bus scold,1,1,1,0,2,1
10,16,0,15,want bus shout,1,1,0,1,1,1
10,16,0,16,want train curse,1,1,0,0,2,1
10,16,0,17,want train scold,1,1,1,0,2,1
10,16,0,18,want train shout,1,1,0,1,1,1
10,16,0,19,want store curse,1,0,0,0,0,0
10,16,0,20,want store scold,1,0,1,0,0,0
10,16,0,21,want store shout,1,0,0,1,0,0
10,16,0,22,want operator curse,1,0,0,0,1,1
10,16,0,23,want operator scold,1,0,1,0,1,1
10,16,0,24,want operator shout,1,0,0,1,1,1
11,15,0,1,do bus curse,0,1,0,0,1,1
11,15,0,2,do bus scold,0,1,1,0,2,1
11,15,0,3,do bus shout,0,1,0,1,2,1
11,15,0,4,do train curse,0,1,0,0,1,1
11,15,0,5,do train scold,0,1,1,0,2,1
11,15,0,6,do train shout,0,1,0,1,2,1
11,15,0,7,do store curse,0,0,0,0,1,1
11,15,0,8,do store scold,0,0,1,0,1,1
11,15,0,9,do store shout,0,0,0,1,1,1
11,15,0,10,do operator curse,0,0,0,0,0,0
11,15,0,11,do operator scold,0,0,1,0,0,0
11,15,0,12,do operator shout,0,0,0,1,0,0
11,15,0,13,want bus curse,1,1,0,0,1,1
11,15,0,14,want bus scold,1,1,1,0,1,1
11,15,0,15,want bus shout,1,1,0,1,1,1
11,15,0,16,want train curse,1,1,0,0,1,1
11,15,0,17,want train scold,1,1,1,0,1,1
11,15,0,18,want train shout,1,1,0,1,1,1
11,15,0,19,want store curse,1,0,0,0,0,0
11,15,0,20,want store scold,1,0,1,0,0,0
11,15,0,21,want store shout,1,0,0,1,0,0
11,15,0,22,want operator curse,1,0,0,0,0,0
11,15,0,23,want operator scold,1,0,1,0,0,0
11,15,0,24,want operator shout,1,0,0,1,0,0
12,18,0,1,do bus curse,0,1,0,0,2,1
12,18,0,2,do bus scold,0,1,1,0,2,1
12,18,0,3,do bus shout,0,1,0,1,2,1
12,18,0,4,do train curse,0,1,0,0,2,1
12,18,0,5,do train scold,0,1,1,0,2,1
12,18,0,6,do train shout,0,1,0,1,2,1
12,18,0,7,do store curse,0,0,0,0,2,1
12,18,0,8,do store scold,0,0,1,0,0,0
12,18,0,9,do store shout,0,0,0,1,1,1
12,18,0,10,do operator curse,0,0,0,0,0,0
12,18,0,11,do operator scold,0,0,1,0,2,1
12,18,0,12,do operator shout,0,0,0,1,1,1
12,18,0,13,want bus curse,1,1,0,0,2,1
12,18,0,14,want bus scold,1,1,1,0,2,1
12,18,0,15,want bus shout,1,1,0,1,0,0
12,18,0,16,want train curse,1,1,0,0,2,1
12,18,0,17,want train scold,1,1,1,0,2,1
12,18,0,18,want train shout,1,1,0,1,0,0
12,18,0,19,want store curse,1,0,0,0,0,0
12,18,0,20,want store scold,1,0,1,0,2,1
12,18,0,21,want store shout,1,0,0,1,0,0
12,18,0,22,want operator curse,1,0,0,0,2,1
12,18,0,23,want operator scold,1,0,1,0,2,1
12,18,0,24,want operator shout,1,0,0,1,0,0
13,36,1,1,do bus curse,0,1,0,0,2,1
13,36,1,2,do bus scold,0,1,1,0,0,0
13,36,1,3,do bus shout,0,1,0,1,1,1
13,36,1,4,do train curse,0,1,0,0,2,1
13,36,1,5,do train scold,0,1,1,0,0,0
13,36,1,6,do train shout,0,1,0,1,0,0
13,36,1,7,do store curse,0,0,0,0,1,1
13,36,1,8,do store scold,0,0,1,0,0,0
13,36,1,9,do store shout,0,0,0,1,0,0
13,36,1,10,do operator curse,0,0,0,0,1,1
13,36,1,11,do operator scold,0,0,1,0,0,0
13,36,1,12,do operator shout,0,0,0,1,0,0
13,36,1,13,want bus curse,1,1,0,0,1,1
13,36,1,14,want bus scold,1,1,1,0,2,1
13,36,1,15,want bus shout,1,1,0,1,0,0
13,36,1,16,want train curse,1,1,0,0,1,1
13,36,1,17,want train scold,1,1,1,0,2,1
13,36,1,18,want train shout,1,1,0,1,0,0
13,36,1,19,want store curse,1,0,0,0,0,0
13,36,1,20,want store scold,1,0,1,0,0,0
13,36,1,21,want store shout,1,0,0,1,0,0
13,36,1,22,want operator curse,1,0,0,0,1,1
13,36,1,23,want operator scold,1,0,1,0,0,0
13,36,1,24,want operator shout,1,0,0,1,0,0
14,22,1,1,do bus curse,0,1,0,0,2,1
14,22,1,2,do bus scold,0,1,1,0,2,1
14,22,1,3,do bus shout,0,1,0,1,2,1
14,22,1,4,do train curse,0,1,0,0,2,1
14,22,1,5,do train scold,0,1,1,0,2,1
14,22,1,6,do train shout,0,1,0,1,2,1
14,22,1,7,do store curse,0,0,0,0,1,1
14,22,1,8,do store scold,0,0,1,0,2,1
14,22,1,9,do store shout,0,0,0,1,1,1
14,22,1,10,do operator curse,0,0,0,0,1,1
14,22,1,11,do operator scold,0,0,1,0,0,0
14,22,1,12,do operator shout,0,0,0,1,0,0
14,22,1,13,want bus curse,1,1,0,0,2,1
14,22,1,14,want bus scold,1,1,1,0,2,1
14,22,1,15,want bus shout,1,1,0,1,1,1
14,22,1,16,want train curse,1,1,0,0,2,1
14,22,1,17,want train scold,1,1,1,0,2,1
14,22,1,18,want train shout,1,1,0,1,1,1
14,22,1,19,want store curse,1,0,0,0,1,1
14,22,1,20,want store scold,1,0,1,0,1,1
14,22,1,21,want store shout,1,0,0,1,0,0
14,22,1,22,want operator curse,1,0,0,0,0,0
14,22,1,23,want operator scold,1,0,1,0,2,1
14,22,1,24,want operator shout,1,0,0,1,0,0
15,16,0,1,do bus curse,0,1,0,0,1,1
15,16,0,2,do bus scold,0,1,1,0,0,0
15,16,0,3,do bus shout,0,1,0,1,0,0
15,16,0,4,do train curse,0,1,0,0,1,1
15,16,0,5,do train scold,0,1,1,0,0,0
15,16,0,6,do train shout,0,1,0,1,1,1
15,16,0,7,do store curse,0,0,0,0,0,0
15,16,0,8,do store scold,0,0,1,0,1,1
15,16,0,9,do store shout,0,0,0,1,1,1
15,16,0,10,do operator curse,0,0,0,0,1,1
15,16,0,11,do operator scold,0,0,1,0,0,0
15,16,0,12,do operator shout,0,0,0,1,0,0
15,16,0,13,want bus curse,1,1,0,0,1,1
15,16,0,14,want bus scold,1,1,1,0,1,1
15,16,0,15,want bus shout,1,1,0,1,0,0
15,16,0,16,want train curse,1,1,0,0,1,1
15,16,0,17,want train scold,1,1,1,0,1,1
15,16,0,18,want train shout,1,1,0,1,0,0
15,16,0,19,want store curse,1,0,0,0,1,1
15,16,0,20,want store scold,1,0,1,0,0,0
15,16,0,21,want store shout,1,0,0,1,0,0
15,16,0,22,want operator curse,1,0,0,0,1,1
15,16,0,23,want operator scold,1,0,1,0,1,1
15,16,0,24,want operator shout,1,0,0,1,0,0
16,18,0,1,do bus curse,0,1,0,0,1,1
16,18,0,2,do bus scold,0,1,1,0,0,0
16,18,0,3,do bus shout,0,1,0,1,1,1
16,18,0,4,do train curse,0,1,0,0,1,1
16,18,0,5,do train scold,0,1,1,0,0,0
16,18,0,6,do train shout,0,1,0,1,1,1
16,18,0,7,do store curse,0,0,0,0,1,1
16,18,0,8,do store scold,0,0,1,0,0,0
16,18,0,9,do store shout,0,0,0,1,0,0
16,18,0,10,do operator curse,0,0,0,0,1,1
16,18,0,11,do operator scold,0,0,1,0,0,0
16,18,0,12,do operator shout,0,0,0,1,0,0
16,18,0,13,want bus curse,1,1,0,0,1,1
16,18,0,14,want bus scold,1,1,1,0,1,1
16,18,0,15,want bus shout,1,1,0,1,2,1
16,18,0,16,want train curse,1,1,0,0,0,0
16,18,0,17,want train scold,1,1,1,0,0,0
16,18,0,18,want train shout,1,1,0,1,0,0
16,18,0,19,want store curse,1,0,0,0,1,1
16,18,0,20,want store scold,1,0,1,0,0,0
16,18,0,21,want store shout,1,0,0,1,0,0
16,18,0,22,want operator curse,1,0,0,0,1,1
16,18,0,23,want operator scold,1,0,1,0,1,1
16,18,0,24,want operator shout,1,0,0,1,0,0
17,23,0,1,do bus curse,0,1,0,0,1,1
17,23,0,2,do bus scold,0,1,1,0,0,0
17,23,0,3,do bus shout,0,1,0,1,0,0
17,23,0,4,do train curse,0,1,0,0,1,1
17,23,0,5,do train scold,0,1,1,0,0,0
17,23,0,6,do train shout,0,1,0,1,1,1
17,23,0,7,do store curse,0,0,0,0,0,0
17,23,0,8,do store scold,0,0,1,0,0,0
17,23,0,9,do store shout,0,0,0,1,0,0
17,23,0,10,do operator curse,0,0,0,0,1,1
17,23,0,11,do operator scold,0,0,1,0,0,0
17,23,0,12,do operator shout,0,0,0,1,0,0
17,23,0,13,want bus curse,1,1,0,0,1,1
17,23,0,14,want bus scold,1,1,1,0,1,1
17,23,0,15,want bus shout,1,1,0,1,1,1
17,23,0,16,want train curse,1,1,0,0,1,1
17,23,0,17,want train scold,1,1,1,0,1,1
17,23,0,18,want train shout,1,1,0,1,0,0
17,23,0,19,want store curse,1,0,0,0,1,1
17,23,0,20,want store scold,1,0,1,0,1,1
17,23,0,21,want store shout,1,0,0,1,1,1
17,23,0,22,want operator curse,1,0,0,0,1,1
17,23,0,23,want operator scold,1,0,1,0,2,1
17,23,0,24,want operator shout,1,0,0,1,1,1
18,16,0,1,do bus curse,0,1,0,0,1,1
18,16,0,2,do bus scold,0,1,1,0,0,0
18,16,0,3,do bus shout,0,1,0,1,2,1
18,16,0,4,do train curse,0,1,0,0,1,1
18,16,0,5,do train scold,0,1,1,0,0,0
18,16,0,6,do train shout,0,1,0,1,1,1
18,16,0,7,do store curse,0,0,0,0,1,1
18,16,0,8,do store scold,0,0,1,0,0,0
18,16,0,9,do store shout,0,0,0,1,1,1
18,16,0,10,do operator curse,0,0,0,0,0,0
18,16,0,11,do operator scold,0,0,1,0,0,0
18,16,0,12,do operator shout,0,0,0,1,0,0
18,16,0,13,want bus curse,1,1,0,0,1,1
18,16,0,14,want bus scold,1,1,1,0,0,0
18,16,0,15,want bus shout,1,1,0,1,1,1
18,16,0,16,want train curse,1,1,0,0,1,1
18,16,0,17,want train scold,1,1,1,0,0,0
18,16,0,18,want train shout,1,1,0,1,0,0
18,16,0,19,want store curse,1,0,0,0,0,0
18,16,0,20,want store scold,1,0,1,0,0,0
18,16,0,21,want store shout,1,0,0,1,0,0
18,16,0,22,want operator curse,1,0,0,0,0,0
18,16,0,23,want operator scold,1,0,1,0,0,0
18,16,0,24,want operator shout,1,0,0,1,0,0
19,21,0,1,do bus curse,0,1,0,0,0,0
19,21,0,2,do bus scold,0,1,1,0,0,0
19,21,0,3,do bus shout,0,1,0,1,0,0
19,21,0,4,do train curse,0,1,0,0,0,0
19,21,0,5,do train scold,0,1,1,0,0,0
19,21,0,6,do train shout,0,1,0,1,0,0
19,21,0,7,do store curse,0,0,0,0,0,0
19,21,0,8,do store scold,0,0,1,0,0,0
19,21,0,9,do store shout,0,0,0,1,0,0
19,21,0,10,do operator curse,0,0,0,0,0,0
19,21,0,11,do operator scold,0,0,1,0,0,0
19,21,0,12,do operator shout,0,0,0,1,0,0
19,21,0,13,want bus curse,1,1,0,0,0,0
19,21,0,14,want bus scold,1,1,1,0,0,0
19,21,0,15,want bus shout,1,1,0,1,0,0
19,21,0,16,want train curse,1,1,0,0,0,0
19,21,0,17,want train scold,1,1,1,0,0,0
19,21,0,18,want train shout,1,1,0,1,0,0
19,21,0,19,want store curse,1,0,0,0,0,0
19,21,0,20,want store scold,1,0,1,0,0,0
19,21,0,21,want store shout,1,0,0,1,0,0
19,21,0,22,want operator curse,1,0,0,0,0,0
19,21,0,23,want operator scold,1,0,1,0,0,0
19,21,0,24,want operator shout,1,0,0,1,0,0
20,25,0,1,do bus curse,0,1,0,0,1,1
20,25,0,2,do bus scold,0,1,1,0,1,1
20,25,0,3,do bus shout,0,1,0,1,1,1
20,25,0,4,do train curse,0,1,0,0,2,1
20,25,0,5,do train scold,0,1,1,0,1,1
20,25,0,6,do train shout,0,1,0,1,1,1
20,25,0,7,do store curse,0,0,0,0,1,1
20,25,0,8,do store scold,0,0,1,0,0,0
20,25,0,9,do store shout,0,0,0,1,0,0
20,25,0,10,do operator curse,0,0,0,0,1,1
20,25,0,11,do operator scold,0,0,1,0,0,0
20,25,0,12,do operator shout,0,0,0,1,0,0
20,25,0,13,want bus curse,1,1,0,0,1,1
20,25,0,14,want bus scold,1,1,1,0,0,0
20,25,0,15,want bus shout,1,1,0,1,1,1
20,25,0,16,want train curse,1,1,0,0,1,1
20,25,0,17,want train scold,1,1,1,0,1,1
20,25,0,18,want train shout,1,1,0,1,0,0
20,25,0,19,want store curse,1,0,0,0,0,0
20,25,0,20,want store scold,1,0,1,0,0,0
20,25,0,21,want store shout,1,0,0,1,0,0
20,25,0,22,want operator curse,1,0,0,0,0,0
20,25,0,23,want operator scold,1,0,1,0,0,0
20,25,0,24,want operator shout,1,0,0,1,0,0
21,22,0,1,do bus curse,0,1,0,0,1,1
21,22,0,2,do bus scold,0,1,1,0,1,1
21,22,0,3,do bus shout,0,1,0,1,1,1
21,22,0,4,do train curse,0,1,0,0,1,1
21,22,0,5,do train scold,0,1,1,0,1,1
21,22,0,6,do train shout,0,1,0,1,0,0
21,22,0,7,do store curse,0,0,0,0,0,0
21,22,0,8,do store scold,0,0,1,0,0,0
21,22,0,9,do store shout,0,0,0,1,0,0
21,22,0,10,do operator curse,0,0,0,0,1,1
21,22,0,11,do operator scold,0,0,1,0,0,0
21,22,0,12,do operator shout,0,0,0,1,0,0
21,22,0,13,want bus curse,1,1,0,0,1,1
21,22,0,14,want bus scold,1,1,1,0,0,0
21,22,0,15,want bus shout,1,1,0,1,0,0
21,22,0,16,want train curse,1,1,0,0,1,1
21,22,0,17,want train scold,1,1,1,0,0,0
21,22,0,18,want train shout,1,1,0,1,0,0
21,22,0,19,want store curse,1,0,0,0,0,0
21,22,0,20,want store scold,1,0,1,0,0,0
21,22,0,21,want store shout,1,0,0,1,0,0
21,22,0,22,want operator curse,1,0,0,0,0,0
21,22,0,23,want operator scold,1,0,1,0,0,0
21,22,0,24,want operator shout,1,0,0,1,0,0
22,15,0,1,do bus curse,0,1,0,0,2,1
22,15,0,2,do bus scold,0,1,1,0,2,1
22,15,0,3,do bus shout,0,1,0,1,2,1
22,15,0,4,do train curse,0,1,0,0,1,1
22,15,0,5,do train scold,0,1,1,0,1,1
22,15,0,6,do train shout,0,1,0,1,2,1
22,15,0,7,do store curse,0,0,0,0,2,1
22,15,0,8,do store scold,0,0,1,0,1,1
22,15,0,9,do store shout,0,0,0,1,1,1
22,15,0,10,do operator curse,0,0,0,0,1,1
22,15,0,11,do operator scold,0,0,1,0,1,1
22,15,0,12,do operator shout,0,0,0,1,2,1
22,15,0,13,want bus curse,1,1,0,0,2,1
22,15,0,14,want bus scold,1,1,1,0,2,1
22,15,0,15,want bus shout,1,1,0,1,2,1
22,15,0,16,want train curse,1,1,0,0,1,1
22,15,0,17,want train scold,1,1,1,0,2,1
22,15,0,18,want train shout,1,1,0,1,0,0
22,15,0,19,want store curse,1,0,0,0,1,1
22,15,0,20,want store scold,1,0,1,0,2,1
22,15,0,21,want store shout,1,0,0,1,0,0
22,15,0,22,want operator curse,1,0,0,0,1,1
22,15,0,23,want operator scold,1,0,1,0,2,1
22,15,0,24,want operator shout,1,0,0,1,0,0
23,26,0,1,do bus curse,0,1,0,0,2,1
23,26,0,2,do bus scold,0,1,1,0,2,1
23,26,0,3,do bus shout,0,1,0,1,1,1
23,26,0,4,do train curse,0,1,0,0,2,1
23,26,0,5,do train scold,0,1,1,0,1,1
23,26,0,6,do train shout,0,1,0,1,2,1
23,26,0,7,do store curse,0,0,0,0,2,1
23,26,0,8,do store scold,0,0,1,0,1,1
23,26,0,9,do store shout,0,0,0,1,2,1
23,26,0,10,do operator curse,0,0,0,0,1,1
23,26,0,11,do operator scold,0,0,1,0,1,1
23,26,0,12,do operator shout,0,0,0,1,2,1
23,26,0,13,want bus curse,1,1,0,0,2,1
23,26,0,14,want bus scold,1,1,1,0,2,1
23,26,0,15,want bus shout,1,1,0,1,2,1
23,26,0,16,want train curse,1,1,0,0,1,1
23,26,0,17,want train scold,1,1,1,0,2,1
23,26,0,18,want train shout,1,1,0,1,2,1
